message_id,message_text,label_intent,label_accommodation_type,label_budget_level,label_location_signal,source,timestamp,split
MSG000003,show me an inn near poblacion under 1500,get_accommodation_recommendation,hotel,low,without_location,chatbot_log,2026-02-25T17:55:51.902862+00:00,
MSG000004,recommend an inn near terminal for 1 guest under 1000,get_accommodation_recommendation,hotel,low,without_location,chatbot_log,2026-02-25T18:34:39.129519+00:00,
MSG000005,recommend an inn near terminal for 1 guest under 1000,get_accommodation_recommendation,inn,low,with_location,chatbot_log,2026-02-25T18:39:31.364820+00:00,
MSG000006,recommend an inn near terminal for 1 guest under 1000,get_accommodation_recommendation,inn,low,with_location,chatbot_log,2026-02-25T18:42:19.776059+00:00,
MSG000007,recommend an inn near terminal for 1 guest under 1000,get_accommodation_recommendation,inn,low,with_location,chatbot_log,2026-02-25T18:51:14.823166+00:00,
MSG000008,book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T18:52:36.029866+00:00,
MSG000009,book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T18:52:36.032859+00:00,
MSG000010,need an inn near the terminal for 1 budget is under 1000,get_accommodation_recommendation,inn,low,with_location,chatbot_log,2026-02-25T19:04:41.178279+00:00,
MSG000011,book room 5 for 2 nights,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:05:01.224176+00:00,
MSG000012,book room 5 for 2 nights,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:05:01.227168+00:00,
MSG000013,2026-03-13 to 2026-03-15,get_recommendation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:05:42.268482+00:00,
MSG000014,book room 5 for 2 nights from 2026-03-13 to 2026-03-15,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:05:54.923584+00:00,
MSG000015,book room 5 for 2 nights from 2026-03-13 to 2026-03-15,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:05:54.927099+00:00,
MSG000016,book room 3 for 2 nights from 2026-03-13 to 2026-03-15,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:06:17.955806+00:00,
MSG000017,book room 3 for 2 nights from 2026-03-13 to 2026-03-15,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:06:17.957805+00:00,
MSG000018,recommend an inn near terminal for 1 guest under 1000,get_accommodation_recommendation,inn,low,with_location,chatbot_log,2026-02-25T19:07:30.871189+00:00,
MSG000019,book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:07:54.572987+00:00,
MSG000020,book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:07:54.576976+00:00,
MSG000021,recommend a hotel in bayawan for 2 guests under 2000,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-02-25T19:35:21.608054+00:00,
MSG000022,book room 7 for 2 guests from 2026-03-20 to 2026-03-22,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:36:27.519963+00:00,
MSG000023,book room 7 for 2 guests from 2026-03-20 to 2026-03-22,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:36:27.524950+00:00,
MSG000024,recommend an inn near terminal for 1 guest under 1000,get_accommodation_recommendation,inn,low,with_location,chatbot_log,2026-02-25T19:38:30.542457+00:00,
MSG000025,book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:39:08.356103+00:00,
MSG000026,book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:39:08.358099+00:00,
MSG000027,recommend an inn near terminal for 1 guest under 1000,get_accommodation_recommendation,inn,low,with_location,chatbot_log,2026-02-25T19:43:48.637340+00:00,
MSG000028,book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:44:16.950957+00:00,
MSG000029,book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:44:16.957944+00:00,
MSG000030,recommend an inn near terminal for 1 guest under 1000,get_accommodation_recommendation,inn,low,with_location,chatbot_log,2026-02-25T19:46:57.277805+00:00,
MSG000031,book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:47:09.762081+00:00,
MSG000032,book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-25T19:47:09.769063+00:00,
MSG000033,under 2000 only,get_recommendation,unknown,mid,without_location,chatbot_log,2026-02-25T21:05:25.466629+00:00,
MSG000034,under 4000 only,get_recommendation,unknown,high,without_location,chatbot_log,2026-02-25T21:05:34.163535+00:00,
MSG000035,under 3000 only,get_recommendation,unknown,mid,without_location,chatbot_log,2026-02-25T21:05:38.842033+00:00,
MSG000036,under 1000 only,get_recommendation,unknown,low,without_location,chatbot_log,2026-02-25T21:05:42.675389+00:00,
MSG000037,show me cheaper options,get_recommendation,unknown,unspecified,without_location,chatbot_log,2026-02-25T21:05:56.308719+00:00,
MSG000038,recommend an inn in bayawan for 2 guests under 1500,get_accommodation_recommendation,inn,low,with_location,chatbot_log,2026-02-25T21:06:07.086977+00:00,
MSG000039,show me cheaper options,get_recommendation,unknown,unspecified,without_location,chatbot_log,2026-02-25T21:06:11.154957+00:00,
MSG000040,need an inn near terminal for 2 guests,get_accommodation_recommendation,inn,unspecified,with_location,chatbot_log,2026-02-27T02:26:02.383893+00:00,
MSG000041,recommend an inn near terminal for 1 guest under 1000,get_accommodation_recommendation,inn,low,with_location,chatbot_log,2026-02-27T02:26:43.014364+00:00,
MSG000042,book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-27T02:27:25.948453+00:00,
MSG000043,book room 5 for 1 guest from 2026-03-10 to 2026-03-12,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-02-27T02:27:25.964925+00:00,
MSG000044,2026-06-17 to 2026-06-20,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-02T15:09:51.853776+00:00,
MSG000045,2026-03-15 to 2026-03-17,get_recommendation,unknown,unspecified,without_location,chatbot_log,2026-03-02T15:11:18.840385+00:00,
MSG000046,4 nights,get_recommendation,unknown,unspecified,without_location,chatbot_log,2026-03-02T15:12:17.811259+00:00,
MSG000047,3,get_recommendation,unknown,low,without_location,chatbot_log,2026-03-02T15:12:20.359309+00:00,
MSG000048,2026-03-15 to 2026-03-17,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-02T15:18:50.420315+00:00,
MSG000049,2026-03-25 to 2026-03-27,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-02T15:19:03.016350+00:00,
MSG000050,recommend a hotel in bayawan,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-02T15:37:36.031811+00:00,
MSG000051,recommend a hotel in bayawan,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-02T15:38:02.966628+00:00,
MSG000052,2026-03-25 to 2026-03-27,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-02T15:40:39.630891+00:00,
MSG000053,with pool,get_recommendation,hotel,low,with_location,chatbot_log,2026-03-02T15:40:50.667962+00:00,
MSG000054,2026-03-25 to 2026-03-27,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-02T15:57:44.667177+00:00,
MSG000055,with pool,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-02T15:57:59.914483+00:00,
MSG000056,book room 12 for 2 guests from 2026-03-25 to 2026-03-27,book_accommodation,hotel,low,with_location,chatbot_log,2026-03-02T15:58:19.057503+00:00,
MSG000057,book room 12 for 2 guests from 2026-03-25 to 2026-03-27,book_accommodation,hotel,low,with_location,chatbot_log,2026-03-02T15:58:19.058498+00:00,
MSG000058,book room 6 for 2 guests from 2026-03-25 to 2026-03-27,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-02T15:58:37.886221+00:00,
MSG000059,book room 6 for 2 guests from 2026-03-25 to 2026-03-27,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-02T15:58:37.890227+00:00,
MSG000060,2026-03-25 to 2026-03-27,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-02T16:02:47.329518+00:00,
MSG000061,with pool,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-02T16:03:28.661079+00:00,
MSG000062,with wifi,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-02T16:03:34.183719+00:00,
MSG000063,book room 6 for 2 guests from 2026-03-25 to 2026-03-27,book_accommodation,hotel,low,with_location,chatbot_log,2026-03-02T16:03:57.105881+00:00,
MSG000064,book room 6 for 2 guests from 2026-03-25 to 2026-03-27,book_accommodation,hotel,low,with_location,chatbot_log,2026-03-02T16:03:57.107876+00:00,
MSG000065,2026-03-25 to 2026-03-27,get_accommodation_recommendation,hotel,high,with_location,chatbot_log,2026-03-02T16:24:15.645608+00:00,
MSG000066,with pool,get_accommodation_recommendation,hotel,high,with_location,chatbot_log,2026-03-02T16:24:58.389486+00:00,
MSG000067,book room 3 for 2 guests from 2026-03-25 to 2026-03-27,book_accommodation,hotel,high,with_location,chatbot_log,2026-03-02T16:25:13.182417+00:00,
MSG000068,YES,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-02T16:25:35.366202+00:00,
MSG000069,2026-03-25 to 2026-03-27,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-02T16:28:26.029108+00:00,
MSG000070,book room 7 for 2 guests from 2026-03-25 to 2026-03-27,book_accommodation,hotel,mid,with_location,chatbot_log,2026-03-02T16:28:40.897752+00:00,
MSG000071,yes,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-02T16:28:50.947516+00:00,
MSG000072,2026-03-25 to 2026-03-27,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-02T16:29:29.565473+00:00,
MSG000073,yes,get_recommendation,hotel,low,with_location,chatbot_log,2026-03-02T16:29:42.264174+00:00,
MSG000074,1600,get_recommendation,unknown,mid,without_location,chatbot_log,2026-03-02T16:29:45.224993+00:00,
MSG000075,2026-03-25 to 2026-03-27,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-02T17:13:59.179686+00:00,
MSG000076,with wifi,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-02T17:14:12.519440+00:00,
MSG000077,book room 6 for 2 guests,book_accommodation,hotel,low,with_location,chatbot_log,2026-03-02T17:14:31.093763+00:00,
MSG000078,yes,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-02T17:14:44.849682+00:00,
MSG000079,2026-03-29 to 2026-04-01,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-04T15:56:13.499175+00:00,
MSG000080,another room please,get_accommodation_recommendation,hotel,high,with_location,chatbot_log,2026-03-04T16:04:52.267030+00:00,
MSG000081,3000,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-04T16:05:03.005309+00:00,
MSG000082,1500,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-04T16:05:08.429983+00:00,
MSG000083,book,get_recommendation,hotel,mid,with_location,chatbot_log,2026-03-04T16:05:16.978699+00:00,
MSG000084,book now,get_recommendation,unknown,unspecified,without_location,chatbot_log,2026-03-04T16:05:19.319228+00:00,
MSG000085,with wifi,get_recommendation,unknown,unspecified,without_location,chatbot_log,2026-03-04T16:05:26.693193+00:00,
MSG000086,2026-03-29 to 2026-03-31,get_accommodation_recommendation,hotel,high,with_location,chatbot_log,2026-03-04T16:36:37.625757+00:00,
MSG000087,I choose 1,get_recommendation,hotel,high,with_location,chatbot_log,2026-03-04T16:36:47.369133+00:00,
MSG000088,Book room 3,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-04T16:36:55.290665+00:00,
MSG000089,2026-03-29 to 2026-03-31,get_recommendation,unknown,unspecified,without_location,chatbot_log,2026-03-04T16:37:13.580578+00:00,
MSG000090,book room 3 from 2026-03-29 to 2026-03-31,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-04T16:37:24.612948+00:00,
MSG000091,2026-03-29 to 2026-03-31,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-04T16:41:33.496960+00:00,
MSG000092,book room 6 from 2026-03-29 to 2026-03-31,book_accommodation,hotel,low,with_location,chatbot_log,2026-03-04T16:42:03.347112+00:00,
MSG000093,yes,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-04T16:42:24.723645+00:00,
MSG000094,"Recommend a hotel in Poblacion for 2 guests, budget 2000 per night, from 2026-03-20 to 2026-03-22",get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-05T16:13:59.868570+00:00,
MSG000095,Find me an inn in Suba for 4 guests under 2500 with wifi and aircon for 2 nights,get_accommodation_recommendation,inn,mid,with_location,chatbot_log,2026-03-05T16:14:31.312913+00:00,
MSG000096,Recommend accommodation in Bayawan City for 1 guest budget 1200 with parking,get_accommodation_recommendation,inn,low,with_location,chatbot_log,2026-03-05T16:14:51.324446+00:00,
MSG000097,show me options with beach view under 3000 for 3 guests in Banga,get_accommodation_recommendation,inn,mid,with_location,chatbot_log,2026-03-05T16:15:59.072194+00:00,
MSG000098,book room 22 for 2 guests from 2026-03-20 to 2026-03-22,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-05T16:16:53.908215+00:00,
MSG000099,yes,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-05T16:17:04.336166+00:00,
MSG000100,show accommodation bookings,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-05T16:17:11.201544+00:00,
MSG000101,rreset,get_recommendation,unknown,unspecified,without_location,chatbot_log,2026-03-05T16:17:34.844602+00:00,
MSG000102,rest,get_recommendation,unknown,unspecified,without_location,chatbot_log,2026-03-05T16:17:36.174028+00:00,
MSG000103,2026-03-20 to 2026-03-22,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-05T16:44:00.982151+00:00,
MSG000104,broaden location,get_recommendation,hotel,mid,with_location,chatbot_log,2026-03-05T16:44:24.532527+00:00,
MSG000105,Kalumboyan,get_recommendation,either,unspecified,without_location,chatbot_log,2026-03-05T16:44:38.387976+00:00,
MSG000106,Recommend an inn in Suba for 4 guests under 2500 with wifi and aircon from 2026-03-20 to 2026-03-22,get_accommodation_recommendation,inn,mid,with_location,chatbot_log,2026-03-05T16:44:47.385357+00:00,
MSG000107,Recommend an inn in Suba for 4 guests under 2500 with wifi and aircon from 2026-03-20 to 2026-03-22,get_accommodation_recommendation,inn,mid,with_location,chatbot_log,2026-03-05T16:45:02.961613+00:00,
MSG000108,broaden location,get_recommendation,inn,mid,with_location,chatbot_log,2026-03-05T16:46:08.839494+00:00,
MSG000109,broaden location,get_recommendation,unknown,unspecified,without_location,chatbot_log,2026-03-05T16:46:16.373513+00:00,
MSG000110,Recommend an inn in Suba for 4 guests under 2500 with wifi and aircon from 2026-03-20 to 2026-03-22,get_accommodation_recommendation,inn,mid,with_location,chatbot_log,2026-03-05T17:26:35.749763+00:00,
MSG000111,broaden location,get_accommodation_recommendation,inn,mid,with_location,chatbot_log,2026-03-05T17:26:40.185720+00:00,
MSG000112,broaden location,get_accommodation_recommendation,inn,mid,with_location,chatbot_log,2026-03-05T17:26:43.562361+00:00,
MSG000113,broaden location,get_accommodation_recommendation,inn,mid,with_location,chatbot_log,2026-03-05T17:26:45.593710+00:00,
MSG000114,broaden location,get_accommodation_recommendation,inn,mid,with_location,chatbot_log,2026-03-05T17:26:46.996298+00:00,
MSG000115,Recommend an inn in Ubos for 4 guests under 2500 with wifi and aircon from 2026-03-20 to 2026-03-22,get_accommodation_recommendation,inn,mid,with_location,chatbot_log,2026-03-05T17:34:21.321149+00:00,
MSG000116,broaden location,get_accommodation_recommendation,inn,mid,with_location,chatbot_log,2026-03-05T17:34:23.986229+00:00,
MSG000117,Recommend an inn in Ubos for 4 guests under 2500 with wifi and aircon from 2026-03-20 to 2026-03-22,get_accommodation_recommendation,inn,mid,with_location,chatbot_log,2026-03-05T17:38:01.057405+00:00,
MSG000118,Recommend an inn in Ubos for 4 guests under 2500 with wifi and aircon from 2026-03-20 to 2026-03-22,get_accommodation_recommendation,inn,mid,with_location,chatbot_log,2026-03-05T17:38:30.552486+00:00,
MSG000119,include both hotel and inn,get_accommodation_recommendation,either,mid,with_location,chatbot_log,2026-03-05T17:38:37.166616+00:00,
MSG000120,2026-03-20 to 2026-03-22,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-05T17:39:10.048789+00:00,
MSG000121,Recommend a hotel in Poblacion for 4 guests under 2500 with aircon from 2026-03-20 to 2026-03-22,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-05T17:39:26.435825+00:00,
MSG000122,Recommend a hotel in Poblacion for 4 guests under 2500 with aircon from 2026-03-20 to 2026-03-22,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-05T17:39:32.696071+00:00,
MSG000123,book room 60 for 2 guests from 2026-03-20 to 2026-03-22,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-05T17:40:14.285109+00:00,
MSG000124,yes,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-05T17:40:16.540521+00:00,
MSG000125,Recommend a hotel in Poblacion for 4 guests under 2500 with aircon from 2026-03-20 to 2026-03-22,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-05T17:43:19.734651+00:00,
MSG000126,Recommend an inn in Poblacion for 3 guests under 2500 with wifi and aircon from 2026-03-20 to 2026-03-22,get_accommodation_recommendation,inn,mid,with_location,chatbot_log,2026-03-05T17:49:51.541983+00:00,
MSG000127,book room 73 for 3 guests from 2026-03-20 to 2026-03-22,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-05T17:50:59.369138+00:00,
MSG000128,yes,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-05T17:51:01.870144+00:00,
MSG000129,Recommend an inn in Kalumboyan for 3 guests under 2500 with wifi and aircon from 2026-03-20 to 2026-03-22,get_accommodation_recommendation,inn,mid,with_location,chatbot_log,2026-03-05T18:02:07.619767+00:00,
MSG000130,Recommend a hotel in Poblacion for 2 guests under 2500 from 2026-03-20 to 2026-03-22,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-05T18:08:46.378270+00:00,
MSG000131,show me options with wifi and aircon,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-05T18:08:56.966262+00:00,
MSG000132,2026-3-29 to 2026-03-31,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-06T01:22:23.056039+00:00,
MSG000133,with wifi,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-06T01:22:35.276175+00:00,
MSG000134,with aircon,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-06T01:22:39.991729+00:00,
MSG000135,2,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-06T01:45:49.802823+00:00,
MSG000136,with wifi,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-06T01:46:02.761728+00:00,
MSG000137,in villareal,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-06T01:46:22.403020+00:00,
MSG000138,with aircon,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-06T01:46:33.418846+00:00,
MSG000139,wifi,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-06T01:46:39.982327+00:00,
MSG000140,book room 68 for 2 guests from 2026-03-31 to 2026-04-02,book_accommodation,hotel,mid,with_location,chatbot_log,2026-03-06T01:47:24.514960+00:00,
MSG000141,yes,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-06T01:48:28.573402+00:00,
MSG000142,2026-04-17 to 2026-04-19,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-06T01:52:39.304577+00:00,
MSG000143,with aircon and wifi,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-06T01:52:52.283893+00:00,
MSG000144,with wifi,get_accommodation_recommendation,hotel,low,with_location,chatbot_log,2026-03-06T01:52:56.043752+00:00,
MSG000145,book room 68 for 2 from 2026-04-17 to 2026-04-19,book_accommodation,hotel,low,with_location,chatbot_log,2026-03-06T01:53:14.125408+00:00,
MSG000146,Yes,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-06T01:53:32.196975+00:00,
MSG000147,2026-04-05 to 2026-04-07,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-06T01:56:34.861017+00:00,
MSG000148,with wifi,get_accommodation_recommendation,hotel,mid,with_location,chatbot_log,2026-03-06T01:56:42.765900+00:00,
MSG000149,book room 59 for 2 guests from 2026-04-05 to 2026-04-07,book_accommodation,hotel,mid,with_location,chatbot_log,2026-03-06T01:57:16.439935+00:00,
MSG000150,yes,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-06T01:57:18.582429+00:00,
MSG000151,for family,get_recommendation,hotel,unspecified,with_location,chatbot_log,2026-03-06T01:59:05.715284+00:00,
MSG000152,for 6 guests,get_recommendation,unknown,unspecified,without_location,chatbot_log,2026-03-06T01:59:13.837268+00:00,
MSG000153,2026-03-13 to 2026-03-15,get_accommodation_recommendation,hotel,high,with_location,chatbot_log,2026-03-06T01:59:48.166664+00:00,
MSG000154,book room 64 for 6 guests from 2026-03-13 to 2026-03-15,book_accommodation,hotel,high,with_location,chatbot_log,2026-03-06T02:00:08.035212+00:00,
MSG000155,yes,book_accommodation,unknown,unspecified,without_location,chatbot_log,2026-03-06T02:00:13.851101+00:00,
